Minnesota: population by race and Hispanic origin for counties,,,,,,,,,,,,,
2010 Census Redistricting Data (Public Law 94-171) Summary File,,,,,,,,,,,,,
069,Kittson County,,"4,552","4,527","4,484",11,4,16,0,12,25,69,
071,Koochiching County,,"13,311","13,054","12,593",78,311,44,3,25,257,147,
073,Lac qui Parle County,,"7,259","7,198","7,087",17,17,29,3,45,61,108,
075,Lake County,,"10,866","10,729","10,616",16,51,31,0,15,137,80,
077,Lake of the Woods County,,"4,045","3,962","3,874",14,28,33,0,13,83,35,
079,Le Sueur County,,"27,703","27,394","26,443",94,81,161,5,610,309,"1,444",
081,Lincoln County,,"5,896","5,851","5,777",8,9,14,0,43,45,72,
083,Lyon County,,"25,857","25,455","23,360",587,114,679,7,708,402,"1,541",
085,McLeod County,,"36,651","36,290","35,159",199,101,267,17,547,361,"1,811",
087,Mahnomen County,,"5,413","4,946","2,713",11,"2,215",3,1,3,467,99,
089,Marshall County,,"9,439","9,358","9,119",26,43,19,3,148,81,337,
091,Martin County,,"20,840","20,652","20,142",64,59,104,6,277,188,744,
093,Meeker County,,"23,300","23,128","22,663",77,44,59,13,272,172,767,
095,Mille Lacs County,,"26,097","25,614","23,778",97,"1,571",83,7,78,483,377,
097,Morrison County,,"33,198","32,839","32,426",131,66,101,11,104,359,402,
099,Mower County,,"39,163","38,435","35,495",818,97,649,40,"1,336",728,"4,138",
101,Murray County,,"8,725","8,654","8,435",25,11,78,2,103,71,242,
103,Nicollet County,,"32,727","32,261","30,666",667,99,431,1,397,466,"1,226",
105,Nobles County,,"21,378","20,984","16,206",743,111,"1,168",10,"2,746",394,"4,820",
107,Norman County,,"6,852","6,694","6,455",13,109,25,0,92,158,276,
109,Olmsted County,,"144,248","141,067","123,605","6,870",353,"7,806",65,"2,368","3,181","6,081",
111,Otter Tail County,,"57,303","56,604","55,080",430,279,271,34,510,699,"1,490",
113,Pennington County,,"13,930","13,681","13,067",192,213,87,1,121,249,380,
115,Pine County,,"29,750","29,192","27,347",597,921,131,8,188,558,723,
117,Pipestone County,,"9,596","9,416","8,975",56,100,69,0,216,180,355,
119,Polk County,,"31,600","30,935","29,495",270,453,218,2,497,665,"1,720",
121,Pope County,,"10,995","10,898","10,766",38,24,39,2,29,97,95,
123,Ramsey County,,"508,640","491,084","356,547","56,170","4,043","59,301",247,"14,776","17,556","36,483", 
125,Red Lake County,,"4,089","4,029","3,934",8,52,4,4,27,60,101,
127,Redwood County,,"16,059","15,744","14,305",75,796,507,2,59,315,335,
129,Renville County,,"15,730","15,565","15,014",44,91,54,6,356,165,"1,046",
131,Rice County,,"64,142","62,979","57,275","2,072",300,"1,314",40,"1,978","1,163","5,122",
133,Rock County,,"9,687","9,568","9,365",59,34,53,1,56,119,197,
135,Roseau County,,"15,629","15,419","14,767",39,201,392,3,17,210,116,
137,St. Louis County,,"200,226","195,711","186,212","2,739","4,477","1,774",64,445,"4,515","2,409",
139,Scott County,,"129,928","126,990","112,212","3,376","1,072","7,347",97,"2,886","2,938","5,771",
141,Sherburne County,,"88,499","86,999","83,211","1,689",439,"1,131",18,511,"1,500","1,941",
143,Sibley County,,"15,226","15,046","14,430",48,30,85,2,451,180,"1,098",
145,Stearns County,,"150,642","148,307","138,262","4,658",473,"2,982",61,"1,871","2,335","4,190",
147,Steele County,,"36,576","36,066","34,038","1,013",86,281,8,640,510,"2,282",
149,Stevens County,,"9,726","9,555","9,110",76,89,146,5,129,171,337,
151,Swift County,,"9,783","9,691","9,453",49,36,21,3,129,92,350,
153,Todd County,,"24,895","24,571","23,727",94,87,103,44,516,324,"1,288",
155,Traverse County,,"3,558","3,518","3,352",13,139,4,1,9,40,50,
157,Wabasha County,,"21,676","21,461","21,000",80,38,97,1,245,215,592,
159,Wadena County,,"13,843","13,632","13,380",111,65,36,0,40,211,176,
161,Waseca County,,"19,136","18,844","17,933",380,148,128,5,250,292,985,
163,Washington County,,"238,136","233,127","209,012","8,579","1,088","12,071",77,"2,300","5,009","8,127",
165,Watonwan County,,"11,211","11,079","9,740",82,48,89,2,"1,118",132,"2,338",
167,Wilkin County,,"6,576","6,505","6,381",15,64,18,0,27,71,130,
169,Winona County,,"51,461","50,860","48,573",650,133,"1,101",2,401,601,"1,244",
171,Wright County,,"124,700","122,794","118,518","1,328",419,"1,478",44,"1,007","1,906","3,052",
173,Yellow Medicine County,,"10,438","10,313","9,806",16,314,33,6,138,125,397,
,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2010 Census.",,,,,,,,,,,,,
"2010 Census Redistricting Data (Public Law 94-171) Summary File, Tables P1 and P2",,,,,,,,,,,,,
