Per Capita Personal Income - 2005,,,,,
,1995,2004,2005,Percent Change 1995-2005 (adjusted for inflation),Percent Change 2004-2005 (adjusted for inflation)
"Alexandria, MN Micropolitan SA","18,388","29,660","30,121",59.0%,-1.4%
"Austin, MN Micropolitan SA","19,905","29,648","30,930",50.9%,1.3%
"Bemidji, MN Micropolitan SA","16,577","25,087","25,571",49.8%,-1.0%
"Brainerd, MN Micropolitan SA","18,452","27,366","27,780",46.2%,-1.4%
"Fairmont, MN Micropolitan SA","20,099","31,660","32,668",57.8%,0.2%
"Faribault-Northfield, MN Micropolitan SA","19,118","26,495","26,906",36.6%,-1.4%
"Fergus Falls, MN Micropolitan SA","18,189","26,901","27,760",48.2%,0.2%
"Hutchinson, MN Micropolitan SA","21,951","29,743","30,713",35.8%,0.3%
"Mankato-North Mankato, MN Micropolitan SA","20,261","30,037","31,657",51.7%,2.3%
"Marshall, MN Micropolitan SA","19,759","30,078","31,838",56.4%,2.8%
"New Ulm, MN Micropolitan SA","20,216","29,555","30,964",48.7%,1.7%
"Owatonna, MN Micropolitan SA","21,777","30,734","31,643",41.1%,0.0%
"Red Wing, MN Micropolitan SA","21,941","33,418","33,600",48.7%,-2.4%
"Wahpeton, ND-MN Micropolitan SA","17,586","27,030","28,550",57.6%,2.5%
"Willmar, MN Micropolitan SA","19,886","30,938","32,085",56.6%,0.7%
"Winona, MN Micropolitan SA","18,928","28,130","28,943",48.5%,-0.1%
"Worthington, MN Micropolitan SA","18,364","28,499","29,637",56.7%,1.0%
"Fargo-Wahpeton, ND-MN (CSA)","20,188","30,984","32,272",55.2%,1.1%
"Minneapolis-St. Paul-St. Cloud, MN-WI (CSA)","26,854","39,808","40,933",48.0%,-0.2%
Minnesota Metropolitan Portion,"26,356","39,338","40,489",49.1%,-0.1%
Minnesota Nonmetropolitan Portion,"18,478","27,831","28,844",51.6%,0.6%
,,,,,
"Components of Personal Income - 2005 (per capita data),",,,,,
,,,,,
,Earnings by residence,"Dividends, Interest, and rents",Transfer payment income,Farm Income,Average wages per job

United States,"$23,956","$5,366","$5,149",$167,"$40,146"
Minnesota,"26,023","6,656","4,611",350,"39,957"
Aitkin,"12,433","4,821","6,941",-86,"25,334"
Anoka,"27,275","4,126","3,475",19,"38,734"
Becker,"17,795","5,403","5,770",852,"27,026"
Beltrami,"15,151","4,553","5,868",66,"27,457"
Benton,"20,607","4,393","3,611",348,"31,015"
Big Stone,"14,724","7,137","7,145",1870,"22,829"
Blue Earth,"21,154","6,136","4,311",1166,"30,258"
Brown,"19,054","6,504","5,406",1864,"28,323"
Carlton,"16,333","3,958","5,823",-43,"31,319"
Carver,"35,301","6,152","2,684",135,"38,773"
Cass,"14,281","7,901","6,996",65,"23,330"
Chippewa,"18,991","6,124","5,328",1210,"28,190"
Chisago,"21,307","4,535","4,205",91,"30,855"
Clay,"18,116","4,480","4,771",247,"26,915"
Clearwater,"12,822","3,248","6,417",299,"25,764"
Cook,"18,343","8,833","5,136",0,"24,737"
Cottonwood,"18,084","6,820","6,034",4244,"24,400"
Crow Wing,"15,670","5,526","5,911",-8,"28,441"
Dakota,"31,631","6,565","3,220",40,"39,960"
Dodge,"23,414","5,121","3,763",1389,"30,965"
Douglas,"18,104","6,553","5,463",223,"28,146"
Faribault,"20,505","6,080","6,147",2164,"37,549"
Fillmore,"18,339","5,350","5,331",2006,"24,135"
Freeborn,"17,626","5,293","5,706",1339,"27,344"
Goodhue,"22,263","6,759","4,579",765,"32,239"
Grant,"13,951","6,189","6,500",1324,"25,157"
Hennepin,"35,116","9,669","4,781",13,"50,537"
Houston,"20,234","5,757","4,775",472,"24,241"
Hubbard,"14,681","5,297","6,231",202,"26,234"
Isanti,"21,810","3,746","3,933",-127,"28,934"
Itasca,"14,858","5,190","6,311",-39,"29,819"
Jackson,"19,720","5,737","4,865",4486,"25,549"
Kanabec,"15,268","4,642","5,000",-260,"27,295"
Kandiyohi,"20,115","6,699","5,271",997,"28,752"
Kittson,"15,007","6,502","6,256",1463,"27,534"
Koochiching,"18,636","4,540","6,654",-15,"34,554"
Lac qui Parle,"18,089","5,555","6,184",5122,"22,778"
Lake,"19,560","6,505","6,590",-15,"31,505"
Lake of the Woods,"12,845","6,167","5,665",-555,"26,747"
Le Sueur,"19,942","5,297","4,574",558,"27,894"
Lincoln,"17,813","5,419","6,126",4544,"21,889"
Lyon,"20,854","6,003","4,981",1769,"29,807"
McLeod,"20,308","6,108","4,298",390,"33,897"
Mahnomen,"13,024","4,503","6,778",671,"24,252"
Marshall,"15,601","5,574","5,720",895,"26,164"
Martin,"19,760","6,779","6,129",3179,"28,293"
Meeker,"18,595","5,373","4,734",882,"27,956"
Mille Lacs,"13,880","4,183","5,909",105,"25,675"
Morrison,"15,743","4,498","5,175",892,"26,384"
Mower,"19,218","5,749","5,963",1339,"30,547"
Murray,"18,419","6,338","5,646",4280,"23,375"
Nicollet,"22,079","5,882","3,799",1304,"28,182"
Nobles,"19,301","5,279","5,057",2508,"26,286"
Norman,"14,726","5,912","6,776",1889,"25,137"
Olmsted,"28,882","6,080","4,242",231,"42,388"
Otter Tail,"15,777","6,187","5,796",594,"26,229"
Pennington,"20,739","7,453","5,479",475,"30,736"
Pine,"14,474","3,920","5,516",172,"24,822"
Pipestone,"20,334","5,463","5,800",4649,"22,803"
Polk,"16,891","4,569","6,042",827,"26,018"
Pope,"18,364","6,131","5,821",1474,"26,324"
Ramsey,"27,406","7,839","5,637",6,"44,318"
Red Lake,"14,551","3,854","5,293",1323,"24,957"
Redwood,"17,114","6,609","5,470",2673,"26,368"
Renville,"15,561","6,075","5,377",2118,"27,068"
Rice,"18,216","4,853","3,837",268,"30,970"
Rock,"19,975","5,564","5,182",5074,"25,020"
Roseau,"22,084","5,220","4,191",457,"33,117"
St. Louis,"19,577","5,879","6,283",12,"32,988"
Scott,"28,219","4,276","2,460",33,"36,217"
Sherburne,"20,923","3,747","2,860",117,"32,392"
Sibley,"17,922","4,832","4,920",1518,"24,153"
Stearns,"20,646","4,993","4,067",494,"31,129"
Steele,"21,625","5,810","4,209",724,"32,364"
Stevens,"17,287","6,698","5,000",1942,"29,559"
Swift,"15,283","4,767","5,935",1684,"26,765"
Todd,"13,928","3,719","5,425",703,"25,579"
Traverse,"10,946","8,992","7,135",1046,"24,193"
Wabasha,"21,222","5,810","4,785",853,"27,646"
Wadena,"12,788","4,954","6,901",607,"26,497"
Waseca,"18,968","4,743","4,404",1804,"28,164"
Washington,"32,067","7,891","3,072",102,"36,299"
Watonwan,"19,284","4,907","5,382",4279,"25,858"
Wilkin,"16,343","6,005","5,499",1536,"28,168"
Winona,"18,672","5,753","4,518",705,"28,798"
Wright,"23,368","4,087","3,324",83,"30,184"
Yellow Medicine,"17,614","5,522","6,461",3100,"27,522"
"Duluth, MN-WI (MSA)","18,634","5,306","6,152",6,"32,395"
"Fargo, ND-MN (MSA)","23,890","5,010","3,859",479,"31,721"
"Grand Forks, ND-MN (MSA)","19,978","4,525","4,519",373,"28,260"
"La Crosse, WI-MN (MSA)","20,967","5,234","4,657",156,"30,662"
"Minneapolis-St. Paul-Bloomington, MN-WI (MSA)","30,634","7,312","4,146",38,"44,890"
"Rochester, MN (MSA)","27,320","5,940","4,257",436,"40,683"
"St. Cloud, MN (MSA)","20,638","4,865","3,970",463,"31,110"
"Albert Lea, MN Micropolitan SA","17,626","5,293","5,706",1339,"27,344"
"Alexandria, MN Micropolitan SA","18,104","6,553","5,463",223,"28,146"
"Austin, MN Micropolitan SA","19,218","5,749","5,963",1339,"30,547"
"Bemidji, MN Micropolitan SA","15,151","4,553","5,868",66,"27,457"
"Brainerd, MN Micropolitan SA","15,218","6,298","6,264",16,"27,139"
"Fairmont, MN Micropolitan SA","19,760","6,779","6,129",3179,"28,293"
"Faribault-Northfield, MN Micropolitan SA","18,216","4,853","3,837",268,"30,970"
"Fergus Falls, MN Micropolitan SA","15,777","6,187","5,796",594,"26,229"
"Hutchinson, MN Micropolitan SA","20,308","6,108","4,298",390,"33,897"
"Mankato-North Mankato, MN Micropolitan SA","21,477","6,047","4,132",1214,"29,657"
"Marshall, MN Micropolitan SA","20,854","6,003","4,981",1769,"29,807"
"New Ulm, MN Micropolitan SA","19,054","6,504","5,406",1864,"28,323"
"Owatonna, MN Micropolitan SA","21,625","5,810","4,209",724,"32,364"
"Red Wing, MN Micropolitan SA","22,263","6,759","4,579",765,"32,239"
"Wahpeton, ND-MN Micropolitan SA","18,949","5,059","4,542",3457,"28,787"
"Willmar, MN Micropolitan SA","20,115","6,699","5,271",997,"28,752"
"Winona, MN Micropolitan SA","18,672","5,753","4,518",705,"28,798"
"Worthington, MN Micropolitan SA","19,301","5,279","5,057",2508,"26,286"
"Fargo-Wahpeton, ND-MN (CSA)","23,320","5,015","3,937",823,"31,471"
"Minneapolis-St. Paul-St. Cloud, MN-WI (CSA)","29,674","7,121","4,138",78,"43,778"
Minnesota Metropolitan Portion,"29,123","7,037","4,330",82,"43,339"
Minnesota Nonmetropolitan Portion,"17,840","5,649","5,355",1058,"28,471"
